Num_Iter: 1Time elapsed: 0.066477071 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.067658417 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.118714167 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.049734430 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.049609381 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.049592954 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.049816437 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.049382654 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.050066382 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.050914413 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.049605519 | Matrix Size: 2000
Num_Iter: 1Time elapsed: 0.049479369 | Matrix Size: 2000
