Time elapsed: 0.001918768 | Matrix Size:32 x 32 | Block Config: 1 threads, 1 blocks
Time elapsed: 0.000257147 | Matrix Size:32 x 32 | Block Config: 1024 threads, 1 blocks
Time elapsed: 0.000211140 | Matrix Size:32 x 32 | Block Config: 512 threads, 2 blocks
Time elapsed: 0.000304779 | Matrix Size:32 x 32 | Block Config: 256 threads, 4 blocks
Time elapsed: 0.000228689 | Matrix Size:32 x 32 | Block Config: 128 threads, 8 blocks
Time elapsed: 0.000186943 | Matrix Size:32 x 32 | Block Config: 32 threads, 32 blocks
Time elapsed: 0.000296315 | Matrix Size:32 x 32 | Block Config: 64 threads, 16 blocks
Time elapsed: 2.939634447 | Matrix Size:1024 x 1024 | Block Config: 1 threads, 1 blocks
Time elapsed: 0.019354557 | Matrix Size:1024 x 1024 | Block Config: 1024 threads, 1 blocks
Time elapsed: 0.018144702 | Matrix Size:1024 x 1024 | Block Config: 512 threads, 2 blocks
Time elapsed: 0.017437922 | Matrix Size:1024 x 1024 | Block Config: 256 threads, 4 blocks
Time elapsed: 0.017076928 | Matrix Size:1024 x 1024 | Block Config: 128 threads, 8 blocks
Time elapsed: 0.003021590 | Matrix Size:1024 x 1024 | Block Config: 1024 threads, 1024 blocks
Time elapsed: 0.002812409 | Matrix Size:1024 x 1024 | Block Config: 512 threads, 2048 blocks
